"P0" "P1" "P2" "P3" "P4" "P5" "P6" "P7" "P8" "P9" "P10" "P11" "P12" "P13" "P14" "run_id"
2071 2657 3165 3441 3006 3516 3959 4297 4492 3706 3320 3037 2368 1807 3408 0
2118 2734 3251 3407 3011 3594 3984 4312 4651 3672 3417 3019 2473 1813 3417 1
2030 2747 3168 3324 3004 3526 3990 4307 4424 3598 3326 3071 2357 1785 3336 2
2103 2757 3246 3388 3042 3544 3942 4347 4515 3675 3346 3017 2364 1797 3277 3
2096 2729 3221 3365 3083 3523 3927 4362 4483 3659 3302 3058 2365 1791 3312 4
1999 2722 3176 3371 3009 3514 3925 4335 4469 3698 3329 3089 2373 1829 3377 5
2045 2716 3182 3426 3128 3580 4043 4311 4442 3727 3325 3083 2443 1803 3345 6
2074 2749 3252 3368 3021 3577 3988 4374 4556 3729 3373 3029 2346 1817 3341 7
2077 2746 3242 3378 3074 3500 3981 4315 4431 3716 3389 3006 2375 1792 3386 8
2125 2779 3308 3371 3066 3597 4080 4471 4594 3760 3351 3026 2391 1821 3368 9
