"P0" "P1" "P2" "P3" "P4" "P5" "P6" "P7" "P8" "P9" "P10" "P11" "P12" "P13" "P14" "run_id"
2417 3132 3824 4223 3458 3977 4581 5125 5253 4285 3956 3560 2800 2116 3977 0
2442 3137 3791 4201 3426 3979 4432 4953 5176 4181 3803 3497 2778 2067 3931 1
2473 3119 3841 4220 3454 4022 4493 4990 5175 4204 3888 3528 2766 2145 3948 2
2487 3148 3868 4209 3452 3989 4547 5076 5231 4253 3834 3514 2773 2141 3943 3
2463 3178 3815 4233 3497 4029 4513 5031 5267 4243 3912 3509 2787 2145 3973 4
2406 3131 3749 4193 3408 3983 4509 5011 5205 4265 3834 3477 2752 2131 3938 5
2492 3120 3832 4242 3443 3978 4518 5049 5231 4217 3883 3517 2764 2193 4019 6
2416 3164 3790 4231 3421 4028 4496 5013 5224 4310 3914 3540 2808 2143 4020 7
2440 3151 3823 4244 3428 4025 4498 5020 5212 4310 3894 3527 2793 2119 3984 8
2454 3061 3762 4235 3451 4007 4500 5003 5103 4264 3901 3475 2755 2102 3949 9
