"P0" "P1" "P2" "P3" "P4" "P5" "P6" "P7" "P8" "P9" "P10" "P11" "P12" "P13" "P14" "run_id"
2512 3250 3929 4336 3571 4090 4651 5180 5440 4345 3964 3614 2863 2166 4198 0
2535 3275 3882 4330 3516 4103 4716 5171 5406 4370 3995 3611 2871 2252 4162 1
2576 3193 3905 4306 3591 4219 4653 5132 5454 4381 4042 3631 2862 2210 4149 2
2483 3229 3899 4361 3584 4124 4674 5183 5441 4371 4030 3589 2919 2224 4062 3
2501 3281 3924 4373 3592 4139 4689 5227 5338 4379 3955 3660 2833 2181 4171 4
2456 3251 3878 4301 3571 4131 4722 5213 5391 4384 3954 3637 2865 2197 4147 5
2480 3248 3851 4365 3554 4148 4691 5161 5335 4337 3949 3610 2845 2230 4157 6
2446 3187 3888 4340 3610 4147 4706 5095 5326 4336 3924 3569 2803 2207 4013 7
2530 3266 3912 4389 3614 4151 4690 5283 5441 4386 3956 3622 2903 2248 4145 8
2515 3225 3857 4365 3538 4131 4666 5230 5373 4336 3939 3619 2933 2222 4113 9
