"P0" "P1" "P2" "P3" "P4" "P5" "P6" "P7" "P8" "P9" "P10" "P11" "P12" "P13" "P14" "run_id"
2454 3106 3826 4130 3425 3915 4498 5002 5212 4208 3871 3559 2757 2122 3907 0
2416 3164 3811 4135 3424 3919 4465 4916 5145 4180 3840 3414 2708 2104 3850 1
2411 3066 3760 4155 3394 3927 4457 4981 5155 4251 3837 3463 2755 2124 3955 2
2419 3115 3727 4135 3419 3946 4446 4934 5138 4155 3830 3464 2715 2110 3886 3
2396 3071 3752 4109 3394 3901 4443 4943 5129 4149 3729 3506 2695 2145 3873 4
2412 3085 3737 4163 3409 3942 4451 4922 5086 4135 3822 3470 2697 2104 3912 5
2419 3101 3723 4146 3423 3935 4421 4977 5215 4213 3773 3506 2708 2087 3923 6
2342 3061 3785 4138 3460 3903 4463 5002 5061 4187 3903 3447 2757 2098 3954 7
2354 3095 3730 4192 3371 3910 4397 4948 5155 4133 3814 3394 2668 2090 3862 8
2390 3117 3770 4133 3355 3921 4440 4926 5142 4153 3815 3427 2697 2126 3886 9
