"P0" "P1" "P2" "P3" "P4" "P5" "P6" "P7" "P8" "P9" "P10" "P11" "P12" "P13" "P14" "run_id"
1978 2597 2917 3095 2859 3365 3837 4183 4220 3485 3161 2910 2282 1688 3058 0
2 2 1 0 1 2 3 4 3 2 2 6 3 2 5 1
1977 2642 2979 3123 2899 3288 3755 4150 4255 3484 3156 2945 2234 1746 3137 2
1933 2569 2913 3038 2850 3295 3754 4082 4268 3460 3164 2883 2236 1718 3063 3
1956 2542 2906 3179 2880 3349 3763 4054 4210 3419 3185 2823 2217 1687 3173 4
1984 2613 2998 3165 2836 3332 3758 4185 4235 3483 3151 2899 2306 1693 3123 5
1969 2549 2973 3127 2834 3295 3789 4063 4196 3455 3236 2880 2256 1709 3123 6
1981 2572 2986 3141 2824 3357 3732 4134 4282 3414 3192 2845 2191 1689 3167 7
1967 2599 2968 3145 2898 3315 3802 4049 4190 3471 3201 2880 2255 1704 3089 8
1836 2507 2991 3136 2829 3249 3730 4078 4282 3506 3096 2813 2206 1678 3003 9
