"P0" "P1" "P2" "P3" "P4" "P5" "P6" "P7" "P8" "P9" "P10" "P11" "P12" "P13" "P14" "run_id"
2350 2997 3615 3965 3409 3854 4443 4901 5008 4107 3668 3371 2671 1961 3704 0
2353 3093 3674 3915 3352 3863 4431 4985 5067 4160 3789 3379 2688 2016 3713 1
2336 3020 3639 3951 3390 3917 4426 4948 5048 4127 3754 3409 2752 2055 3758 2
2369 3115 3651 3946 3404 3969 4493 4941 5122 4144 3765 3448 2735 2076 3781 3
2284 3029 3607 3955 3348 3869 4445 4899 5000 4129 3753 3411 2709 2031 3742 4
2309 3031 3602 3991 3449 3917 4409 4891 5105 4135 3714 3397 2654 2042 3689 5
2385 3079 3632 3881 3353 3957 4405 4901 5056 4111 3691 3370 2695 2066 3718 6
2312 3062 3669 3974 3319 3834 4422 4927 5035 4145 3720 3361 2691 1988 3755 7
2409 3009 3704 3905 3364 3900 4514 4937 5045 4130 3772 3301 2670 2002 3729 8
2359 3076 3643 3917 3414 3920 4414 4907 5165 4193 3793 3449 2650 2092 3789 9
