"P0" "P1" "P2" "P3" "P4" "P5" "P6" "P7" "P8" "P9" "P10" "P11" "P12" "P13" "P14" "run_id"
2407 3180 3863 4284 3453 4031 4588 5042 5265 4282 3872 3513 2822 2149 4065 0
2423 3204 3892 4308 3538 4042 4637 5153 5334 4324 4004 3546 2896 2157 4052 1
2545 3161 3861 4298 3541 4076 4563 5117 5288 4315 3907 3532 2812 2198 4105 2
2451 3155 3879 4267 3498 4098 4600 5146 5282 4305 3926 3528 2826 2129 4036 3
2486 3179 3896 4314 3570 4114 4651 5163 5350 4314 4012 3628 2845 2206 4081 4
2511 3203 3892 4253 3570 4123 4633 5146 5307 4363 3984 3593 2819 2181 3998 5
2456 3167 3838 4265 3504 4082 4594 5073 5290 4302 3924 3601 2787 2191 4073 6
2473 3202 3831 4259 3457 4068 4588 5124 5304 4344 3973 3534 2821 2227 4048 7
2496 3229 3871 4293 3454 4082 4597 5092 5346 4333 3939 3589 2852 2146 4027 8
2473 3134 3778 4265 3515 4056 4585 5005 5346 4290 3932 3504 2785 2159 4079 9
