"P0" "P1" "P2" "P3" "P4" "P5" "P6" "P7" "P8" "P9" "P10" "P11" "P12" "P13" "P14" "run_id"
2482 3217 3917 4248 3615 4002 4688 5084 5351 4282 3977 3585 2798 2155 3917 0
2490 3161 3890 4192 3530 4054 4599 5099 5330 4330 3975 3594 2840 2128 4004 1
2479 3196 3890 4218 3551 4106 4604 5121 5306 4334 3915 3523 2832 2181 3980 2
2463 3183 3804 4169 3543 4113 4530 5070 5186 4343 3921 3513 2838 2083 3933 3
2487 3241 3845 4260 3556 4109 4651 5154 5240 4350 3932 3540 2828 2169 3974 4
2476 3214 3809 4197 3531 4098 4681 5102 5294 4367 3967 3479 2815 2175 3929 5
2450 3184 3816 4217 3509 4077 4596 5111 5188 4297 3924 3585 2779 2192 3890 6
2462 3231 3854 4205 3512 4131 4670 5116 5305 4355 3957 3487 2793 2152 3942 7
2497 3175 3789 4194 3563 4083 4659 5099 5305 4340 4002 3550 2844 2151 3918 8
2461 3196 3832 4255 3513 4022 4547 5079 5269 4281 3882 3538 2780 2105 3943 9
